ico,adress,fraud,start_date,market_start_date,diff_days,market_days,size_ok,price,market_cap,o_concur,biggest_holder,exchange,contract,date_analysis,code,site,social_media
STREAMR,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0,2017-07-24,2017-10-12,80,1066,,,182.0,x,5,20,12,2018-04-10,,,
SWISSBORG,0xba9d4199fab4f26efe3551d490e3821486f135ba,0,2017-11-01,2018-01-31,91,955,,,113.0,x,20,2,4,2018-07-30,,,
SYNTHETIX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0,2020-05-11,2020-05-11,0,124,,,31.0,,10,2,41,2020-11-07,,,
TATATU,0x9cda8a60dd5afa156c95bd974428d91a0812e054,1,2018-04-10,2018-07-31,112,774,x,,,,39,0,0,2019-01-27,,x,x
TAYLOR,0xc4d557d795ce16c49624e48045b380f169e4113f,1,2018-02-20,2018-02-21,1,934,x,x,,,6,0,19,2018-08-20,x,x,
TEFOOD,0xe5f166c0d8872b68790061317bb6cca04582c912,1,2018-02-24,2018-02-24,0,931,x,,,,7,13,3,2018-08-23,,,x
TERRAMINER,0x8bef0141e8d078793456c4b74f7e60640f618594,1,2017-12-23,2018-01-25,33,961,,x,,,11,0,5,2018-07-24,,,
THETA,0x3883f5e181fccaf8410fa61e12b59bad963fb645,0,2017-12-14,2018-01-16,33,970,,,41.0,x,10,9,0,2018-07-15,,,
THORE,0x9972a0f24194447e73a7e8b6cd26a52e02ddfad5,1,2018-03-27,2018-10-30,217,683,x,,,,53,16,0,2019-04-28,,x,x
TIERION,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0,2017-08-25,2017-08-25,0,1114,,,392.0,,28,11,0,2018-02-21,,,
TIMENEWBANK,0xf7920b0768ecb20a123fac32311d07d193381d6f,0,2017-10-22,2017-11-27,36,1020,,,365.0,,19,22,0,2018-05-26,,,
TIPPER,0xed3e73c01028eab954784aa5aedc97cbe2807dbb,1,2018-01-18,2018-04-30,102,866,x,x,,x,29,0,0,2018-10-27,,,
TOMO,0x8b353021189375591723e7384262f45709a3c3dc,0,2018-02-28,2018-03-01,1,926,,,122.0,x,1,11,45,2018-08-28,,,
TRADEXTOKEN,0x5432c580e34f590f4dd901b825ddeb92e905e826,1,2020-01-24,2020-03-26,62,170,,,,,98,0,0,2020-09-22,,,
TRON,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0,2017-08-28,2017-09-04,7,1104,,,17.0,x,0,0,0,2018-03-03,,,
TRONCLASSIC,0xad5fe5b0b8ec8ff4565204990e4405b2da117d8e,1,2018-05-08,2018-10-08,153,705,x,x,,,30,13,1,2019-04-06,x,x,
ULTRA,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,0,2019-07-17,2019-07-17,0,423,,,262.0,,9,5,66,2020-01-13,,,
UTRUST,0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38,0,2017-12-26,2017-12-28,2,989,,,169.0,x,11,10,0,2018-06-26,,,
VITE,0x1b793e49237758dbd8b752afc9eb4b329d5da016,0,2018-04-25,2018-06-15,51,820,,,290.0,,0,0,0,2018-12-12,,,
WALTONCHAIN,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,1,2017-07-21,2017-07-23,2,1147,x,,,,61,4,0,2018-01-19,x,x,x
WANCHAIN,0x5fc6de61258e63706543bb57619b99cc0e5a5a1f,0,2017-10-06,2018-01-29,115,957,,,190.0,x,20,0,0,2018-07-28,,,
WAX,0x39bb259f66e1c59d5abef88375979b4d20d98022,0,2017-12-19,2017-12-20,1,997,,,157.0,x,30,0,0,2018-06-18,,,
WAYKICHAIN,0x4f878c0852722b0976a955d68b376e4cd4ae99e5,0,2018-01-01,2018-01-03,2,983,,,162.0,x,0,0,0,2018-07-02,,,
ZILLIQA,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0,2018-01-12,2018-01-24,12,962,,,50.0,x,7,0,1,2018-07-23,,,
ZPAY,0xeffea57067e02999fdcd0bb45c0f1071a29472d9,1,2018-07-25,2018-08-20,26,754,x,,,,99,0,0,2019-02-16,,,
ZYNECOIN,0xe65ee7c03bbb3c950cfd4895c24989afa233ef01,1,2019-01-21,2019-01-23,2,598,x,,,,15,2,0,2019-07-22,x,x,x
